codigo_eje;nombre_eje;coddisa;nomdisa;codred;codmicro;codigo_pre;nombre_pre;almtipo;red;diris;CATEGORIA;DISTRITO;MICRORED;RISS;NORTE;ESTE;BOLETEA
036;LIMA METROPOLITANA;036;NO TIENE ASIGNADO DIRIS;00;00;07734;"""INSTITUTO NACIONAL DE REHABILITACION """"DRA. ADRIANA REBAZA FLORES"""" AMISTAD PERU - JAPON""";H;NO PERTENECE A NINGUNA RED;;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;26;01;07735;JUAN PABLO II;C;RED DE SALUD LIMA NORTE IV;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;036;NO TIENE ASIGNADO DIRIS;01;03;07737;PROMOCION Y DESARROLLO JUVENIL;P;LIMA ESTE METROPOLITANA;;;;;;;;
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;02;05;09565;P.S. PARAISO ALTO;P;SAN JUAN DE MIRAFLORES - VILLA MARIA DEL TRIUNFO;LIMA SUR;I-2;VILLA MARIA DEL TRIUNFO;VILLA MARIA - JOSE CARLOS MARIATEGUI;VILLA MARIA DEL TRIUNFO;-76.923656;-12.140445;NO
036;LIMA METROPOLITANA;038;DIRIS LIMA ESTE;01;09;10093;VILLA MERCEDES;P;LIMA ESTE METROPOLITANA;LIMA ESTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;26;02;10633;JESUS OROPEZA CHONTA;P;RED DE SALUD LIMA NORTE IV;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;24;04;11891;SU MAJESTAD HIROITO;P;TUPAC AMARU;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;039;DIRIS LIMA NORTE;24;03;12668;LUIS ALBERTO BAZAGOITIA CARDENAS;P;TUPAC AMARU;LIMA NORTE;;;;;;;
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;02;06;12847;P.S. CIUDAD DE GOSEN;P;SAN JUAN DE MIRAFLORES - VILLA MARIA DEL TRIUNFO;LIMA SUR;I-2;VILLA MARIA DEL TRIUNFO;JOSE GALVEZ - NUEVA ESPERANZA;VILLA MARIA DEL TRIUNFO;-76.920566;-12.213772;SI
036;LIMA METROPOLITANA;038;DIRIS LIMA ESTE;01;03;13186;FRATERNIDAD NIÐO JESUS ZONA X;P;LIMA ESTE METROPOLITANA;LIMA ESTE;;;;;;;
036;LIMA METROPOLITANA;038;DIRIS LIMA ESTE;01;01;13261;CERRO EL AGUSTINO;P;LIMA ESTE METROPOLITANA;LIMA ESTE;;;;;;;
036;LIMA METROPOLITANA;040;DIRIS LIMA SUR;02;03;13486;P.S. MARIANNE PREUSS DE STARK;P;SAN JUAN DE MIRAFLORES - VILLA MARIA DEL TRIUNFO;LIMA SUR;I-2;SAN JUAN DE MIRAFLORES;MANUEL BARRETO;SAN JUAN DE MIRAFLORES;-76.9623905;-12.1467868;SI
036;LIMA METROPOLITANA;036;NO TIENE ASIGNADO DIRIS;00;00;13937;LABORATORIO DE REFERNCIA EN SALUD PUBLICA;O;NO PERTENECE A NINGUNA RED;;;;;;;;
